,content
0,如價格 能 跟 國外 399 美金 一樣 應該 會 讓 人覺 得 很 超值 跑 分 就 參考 個 人 使用 習慣 不同
1,新一代 的 規格 優化 效能 當然 也 會 提升 入門 平價 的 iphoeSE 的 確是 個 超值 手機
2,配上 A13 處 理器 性能 果然 剽悍 喜歡 小 螢幕 的 USER 這支 肯定 會 是 首選咯
3,跑 分相當 高效能 很強 不過 螢幕實 在 不 適合 不 年 輕 的 人
4,iPhoeSE 安兔 兔 跑 分好 高
5,apple 的 a13 處 理器 真的 厲害 如果 以 效能 來 看不到 15000 能 買 到 這樣 的 效能 真的 超值
6,想要 拿 蘋果 手機 又 想要 有 一定 效能 這支 是 不錯 的 選擇
7,能 一手 完全 掌控 最好 這價位 的 愛瘋 在 其他 方面 其實 不是 那麼 重要
8,蘋果 這 隻 新 SE 應該 可以 拿來 當不錯 的 遊戲 手機 價格 也 很 甜蜜 規格 也 不錯 到位 若 是 螢幕 55 吋 以上 就 好
9,個 人 喜歡 輕巧型 的 手機 iphoese2 價格 親民 效能 不錯 確實 有 吸引力 之處
10,感謝樓 主開箱 分享 恭喜 大大 換到 好物
11,Moxbii 的 手機 周邊 也 都 蠻 不錯 的 可以 用 EP 點數 兌換 好產品 真的 棒
12,恭喜 換得 好物 希望 下次 也 可以 搶到 喜歡 的 商品 XD
13,謝謝 開箱 分享 恭喜 用 EP 點數換 到 喜歡 的 物品
14,這款 強化 玻貼 效果 真的 不錯 恭喜 換得 好物 啊 又 可以 撐 很 久 囉
15,謝謝 開箱 分享 恭喜 用 EP 點數換 購到 喜歡 的 產品
16,這款 強化 玻貼 效果 真的 不錯 恭喜 換得 好物 啊 又 可以 撐 很 久 囉
17,EP 商品 的 品質 都 很棒
18,Moxbii 太空 盾 系列 的 手機 保護 商品 都 蠻 不錯 的 恭喜 又 EP 換到 好 商品
19,Moxbii 太空 盾超 強化 玻璃 好像 不錯 的 樣子 恭喜 兌換 到 實用 的 商品 分享
20,看起 來 疏油 的 效果 不錯 恭喜 換得 好物
21,剛好 快過 年 可以 衝一波 不用 擔心 沒錢花 哈哈哈哈
22,但 四四方方 的 外型 還不錯
23,以 目前 的 狀況 來 看 iPhoe12 延期 是 很 合理 的 事情
24,全球 都 受 影響 了 iPhoe12 會延後發表 也 是 正常 合理
25,這 外型 很 可以 耶 可惜 每次 價格 都 貴 鬆 鬆 的
26,剛好 配合 5G 開台 這樣 也 是 不錯 也 不用 太急 著 買
27,相信 這個 消息 可能 是 真的 蘋果 手機 設計 一直 是 簡約 有型 手機 無 孔用 無線 傳輸 是 有 可行性 的
28,當然 在 未來 是 非常 有 可能 的 因為現 在 越 越 多 的 3C 週邊 都 推出 無線 藍芽
29,這樣 很棒 啊 也 比 較 好 方便 教徒 們 充值 信仰 阿到 時候 勢必 充電板 要 多 買 幾個 、 最好 連 SIM卡 槽 也 一 併 全部 都 完全 取消 直接 綁定 就 更 完美 了
30,以 iphoe 很愛搞 東稿 西 的 歷史 背景 我覺 得 很 有 可能
31,充電 速度 夠快 的 話 無線 充電 也 是 很 好 用 的
32,提供 無線 充電 也 是 很 好 的 功能 起碼 大家 都 不用 插電線 充電變 得 比 較 方便 也 比 較 安全 了
33,現 在手 機 越做越 大 搞不好 我 下次 手機 我 要換 iPhoeSE 小兒 省小兒 攜帶
34,想不到 iphoe 回歸 小 螢幕 我 還以 為現 在 是 螢幕 比大 的 說
35,SE2 真的 不錯 A13 的 處 理器 很夠 用 可以 用 好 一陣子
36,紅配 黑真得 是 絕配 iphoese 真的 很 便宜 重點 是 用 上 與 旗 艦款 一樣 的 處 理器 這是 安卓 做 不 做 的
